#Time(Ma) Lon(degree) Lat(degree) Radius(km) Velocity(km/s)
200.0     0.0         0.0         110.0      15.0
210.0     36.0        -35.0       100.0      10.0
224.0     72.0        15.0        125.0      10.0
236.0     108.0       -21.0       90.0       15.0
245.0     144.0       40.0        130.0      13.0
255.0     180.0       -30.0       100.0      11.0
260.0     216.0       60.0        80.0       12.0
275.0     252.0       -11.0       110.0      10.0
300.0     288.0       15.0        120.0      15.0
320.0     324.0       -35.0       130.0      15.0
